sweep,name,d_model,n_heads,num_layers,ff_dim,learning_rate,seed,best_dev_ppl,test_ppl
d_model,seq_d_model_256,256,8,1,1024,0.0008,42,37.7769,33.8877
d_model,seq_d_model_256,256,1,1,1024,0.0008,42,38.9461,34.7798
d_model,seq_d_model_384,384,1,1,1536,0.0006,42,38.7755,34.8629
d_model,seq_d_model_512,512,1,1,2048,0.0005,42,38.1494,34.3546
d_model,seq_d_model_768,768,1,1,3072,0.0005,42,38.2532,34.4383
n_heads,seq_n_heads_2,512,2,1,2048,0.0005,42,37.3033,33.7321
n_heads,seq_n_heads_4,512,4,1,2048,0.0005,42,37.0897,33.5425
n_heads,seq_n_heads_8,512,8,1,2048,0.0005,42,37.0104,33.5244
n_heads,seq_n_heads_16,512,16,1,2048,0.0005,42,37.1115,33.5963
num_layers,seq_num_layers_6,512,8,6,2048,0.0005,42,37.3471,33.5541
num_layers,seq_num_layers_8,512,8,8,2048,0.0005,42,38.2211,34.4079
num_layers,seq_num_layers_10,512,8,10,2048,0.0003,42,36.6211,32.8989
ff_dim,seq_ff_dim_1024,512,8,10,1024,0.0008,42,58.8891,52.0064
ff_dim,seq_ff_dim_2048,512,8,10,2048,0.0007,42,43.0736,38.7007
ff_dim,seq_ff_dim_3072,512,8,10,3072,0.0005,42,39.4507,35.5295
