sweep,name,d_model,n_heads,num_layers,ff_dim,dropout,tie_weights,weight_decay,lr_schedule,warmup_steps,gradient_clip,learning_rate,seed,best_dev_ppl,test_ppl
d_model,tune_d_model_256,256,1,1,20,,,,,,,0.0008,,52.6803,46.6794
d_model,tune_d_model_256,256,1,1,20,,,,,,,0.0008,,50.9848,45.5339
d_model,tune_d_model_256,256,1,1,20,,,,,,,0.0008,,51.0992,45.6693
n_heads,tune_n_heads_4,512,4,1,20,,,,,,,0.0005,,50.3345,44.9334
d_model,tune_d_model_384,384,1,1,20,,,,,,,0.0007,,54.5291,48.6580
n_heads,tune_n_heads_2,512,2,1,20,,,,,,,0.0005,,51.8988,46.1431
d_model,tune_d_model_512,512,1,1,20,,,,,,,0.0006,,56.4716,50.3949
n_heads,tune_n_heads_4,512,4,1,20,,,,,,,0.0005,,50.5146,44.8399
d_model,tune_d_model_768,768,1,1,20,,,,,,,0.0005,,58.6734,52.3896
n_heads,tune_n_heads_8,512,8,1,20,,,,,,,0.0005,,49.2346,44.4437
n_heads,tune_n_heads_16,512,16,1,20,,,,,,,0.0005,,49.2303,44.1824
num_layers,tune_num_layers_6,512,8,6,20,,,,,,,0.0007,,53.1626,47.3525
num_layers,tune_num_layers_8,512,8,8,20,,,,,,,0.0005,,51.9950,46.1899
num_layers,tune_num_layers_10,512,8,10,20,,,,,,,0.0003,,50.1799,44.5773
n_heads,tune_n_heads_2,512,2,1,1024,,,,,,,0.0005,,48.1902,43.1327
d_model,tune_d_model_256,256,1,1,1024,,,,,,,0.0008,,50.4121,44.7622
n_heads,tune_n_heads_4,512,4,1,1024,,,,,,,0.0005,,49.0481,43.8395
n_heads,tune_n_heads_8,512,8,1,1024,,,,,,,0.0005,,48.4260,43.2186
d_model,tune_d_model_384,384,1,1,1024,,,,,,,0.0007,,49.9457,44.2746
n_heads,tune_n_heads_16,512,16,1,1024,,,,,,,0.0005,,48.1387,43.2313
d_model,tune_d_model_512,512,1,1,1024,,,,,,,0.0006,,49.6876,43.8670
d_model,tune_d_model_768,768,1,1,1024,,,,,,,0.0005,,52.4974,46.8070
d_model,tune_d_model_256,256,1,1,1024,,,,,,,0.0008,,50.8661,44.8900
d_model,tune_d_model_384,384,1,1,1536,,,,,,,0.0007,,49.4963,44.2493
d_model,tune_d_model_512,512,1,1,2048,,,,,,,0.0006,,49.6779,44.3222
d_model,tune_d_model_768,768,1,1,3072,,,,,,,0.0005,,49.3327,43.7495
d_model,tune_d_model_512,512,1,1,2048,,,,,,,0.0006,42,50.1560,44.5006
d_model,tune_d_model_256,256,1,1,1024,,,,,,,0.0008,42,51.1473,45.0533
d_model,tune_d_model_384,384,1,1,1536,,,,,,,0.0006,42,50.2169,44.6179
d_model,tune_d_model_512,512,1,1,2048,,,,,,,0.0005,42,49.7792,44.2565
n_heads,tune_n_heads_2,512,2,1,2048,,,,,,,0.0005,42,48.6298,43.2759
d_model,tune_d_model_768,768,1,1,3072,,,,,,,0.0005,42,49.8947,44.3369
n_heads,tune_n_heads_4,512,4,1,2048,,,,,,,0.0005,42,48.4811,43.1120
n_heads,tune_n_heads_8,512,8,1,2048,,,,,,,0.0005,42,48.6606,43.2172
n_heads,tune_n_heads_16,512,16,1,2048,,,,,,,0.0005,42,48.4376,43.2294
ff_dim,tune_ff_dim_1024,512,8,6,1024,,,,,,,0.0008,42,58.8758,52.0161
dropout,tune_dropout_0.0,512,1,1,2048,0.0,,,,,,0.0005,42,38.1494,34.3546
dropout,tune_dropout_0.1,512,1,1,2048,0.1,,,,,,0.0005,42,37.8313,34.0949
dropout,tune_dropout_0.2,512,1,1,2048,0.2,,,,,,0.0005,42,39.0679,34.8254
dropout,tune_dropout_0.3,512,1,1,2048,0.3,,,,,,0.0005,42,41.2969,36.5227
dropout,tune_dropout_0.0,512,8,10,3072,0.0,,,,,,0.0003,42,36.5969,32.9336
dropout,tune_dropout_0.1,512,8,10,3072,0.1,,,,,,0.0003,42,36.0286,32.2378
dropout,tune_dropout_0.2,512,8,10,3072,0.2,,,,,,0.0003,42,34.9678,31.2626
dropout,tune_dropout_0.3,512,8,10,3072,0.3,,,,,,0.0003,42,34.7172,31.0595
dropout,tune_dropout_0.3,512,8,10,3072,0.3,True,,,,,0.0003,42,32.2317,28.9427
dropout,tune_dropout_0.0,512,8,10,3072,0.0,False,,,,,0.0003,42,36.9664,33.3173
dropout,tune_dropout_0.1,512,8,10,3072,0.1,False,,,,,0.0003,42,35.8964,32.0764
dropout,tune_dropout_0.2,512,8,10,3072,0.2,False,,,,,0.0003,42,35.1396,31.2545
dropout,tune_dropout_0.3,512,8,10,3072,0.3,False,,,,,0.0003,42,34.6489,30.9522
dropout,tune_dropout_0.4,512,8,10,3072,0.4,False,,,,,0.0003,42,35.3491,31.1763
weight_decay,seq1_weight_decay_0.0,512,8,10,3072,0.3,False,0.0,none,0,,0.0003,42,34.8217,30.9994
weight_decay,seq1_weight_decay_0.001,512,8,10,3072,0.3,False,0.001,none,0,,0.0003,42,34.8144,31.0480
weight_decay,seq1_weight_decay_0.01,512,8,10,3072,0.3,False,0.01,none,0,,0.0003,42,34.6489,30.9522
weight_decay,seq1_weight_decay_0.05,512,8,10,3072,0.3,False,0.05,none,0,,0.0003,42,34.4086,30.7334
weight_decay,seq1_weight_decay_0.1,512,8,10,3072,0.3,False,0.1,none,0,,0.0003,42,34.1461,30.5805
lr_schedule,seq2_lr_schedule_none,512,8,10,3072,0.3,False,0.1,none,0,,0.0003,42,34.1461,30.5805
lr_schedule,seq2_lr_schedule_linear,512,8,10,3072,0.3,False,0.1,linear,0,,0.0003,42,33.9350,30.4767
lr_schedule,seq2_lr_schedule_cosine,512,8,10,3072,0.3,False,0.1,cosine,0,,0.0003,42,34.1840,30.6898
lr_schedule,seq2_lr_schedule_inverse_sqrt,512,8,10,3072,0.3,False,0.1,inverse_sqrt,0,,0.0003,42,49.2477,43.7427
warmup_steps,seq3_warmup_steps_0,512,8,10,3072,0.3,False,0.1,linear,0,,0.0003,42,33.9350,30.4767
warmup_steps,seq3_warmup_steps_50,512,8,10,3072,0.3,False,0.1,linear,50,,0.0003,42,34.4204,30.7946
warmup_steps,seq3_warmup_steps_100,512,8,10,3072,0.3,False,0.1,linear,100,,0.0003,42,34.4856,30.8662
warmup_steps,seq3_warmup_steps_200,512,8,10,3072,0.3,False,0.1,linear,200,,0.0003,42,34.7913,30.8790
warmup_steps,seq3_warmup_steps_500,512,8,10,3072,0.3,False,0.1,linear,500,,0.0003,42,34.8204,31.0280
learning_rate,seq1_learning_rate_0.5,20,1,1,20,0.0,False,0.0,none,0,,0.5,42,407821.4046,259454.3284
learning_rate,seq1_learning_rate_0.01,20,1,1,20,0.0,False,0.0,none,0,,0.01,42,52.4251,45.6140
learning_rate,seq1_learning_rate_0.005,20,1,1,20,0.0,False,0.0,none,0,,0.005,42,51.9856,45.5109
learning_rate,seq1_learning_rate_0.001,20,1,1,20,0.0,False,0.0,none,0,,0.001,42,52.5580,45.9121
learning_rate,seq1_learning_rate_0.0005,20,1,1,20,0.0,False,0.0,none,0,,0.0005,42,52.7641,45.9483
learning_rate,seq1_learning_rate_0.0001,20,1,1,20,0.0,False,0.0,none,0,,0.0001,42,55.7953,48.9051
ff_dim,seq1_ff_dim_1024,512,8,10,1024,0.0,False,0.0,none,0,,0.0003,42,36.8779,33.2061
learning_rate,seq1_learning_rate_5e-05,20,1,1,20,0.0,False,0.0,none,0,,5e-05,42,56.5820,49.5340
ff_dim,seq1_ff_dim_2048,512,8,10,2048,0.0,False,0.0,none,0,,0.0003,42,36.7263,33.0573
learning_rate,seq1_learning_rate_1e-05,20,1,1,20,0.0,False,0.0,none,0,,1e-05,42,87.6588,77.0198
ff_dim,seq1_ff_dim_3072,512,8,10,3072,0.0,False,0.0,none,0,,0.0003,42,36.6523,33.0456
ff_dim,seq1_ff_dim_4096,512,8,10,4096,0.0,False,0.0,none,0,,0.0003,42,37.0586,33.3258
