name,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
seq_lr_5em02,0.05,256,1,1,1024,0.0,3,42 101 27,0.03323925995609909,0.04700741223316027,0.2610441767068273,0.36917221507731396,0.030634037040986033,0.03948887220941059,0.2616648002986189,0.3456920734794458,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_101.pt
seq_lr_1em02,0.01,256,1,1,1024,0.0,3,42 101 27,0.38525125078931716,0.0717749204890404,0.7744310575635877,0.007393146597849573,0.33709954618661325,0.06451032398428759,0.748040313549832,0.01108566062330531,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_27.pt
seq_lr_5em03,0.005,256,1,1,1024,0.0,3,42 101 27,0.5695818725444393,0.02164810139781404,0.7670682730923696,0.013116410938597991,0.5204833832379913,0.03325610552468773,0.7472937663307203,0.011432170833231465,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_101.pt
seq_lr_1em03,0.001,256,1,1,1024,0.0,3,42 101 27,0.9419252131965036,0.0016029540653194688,0.9685408299866132,0.009029944821440464,0.8857243759595969,0.005427388160027273,0.9268383725270622,0.00788305788799657,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_27.pt
seq_lr_5em04,0.0005,256,1,1,1024,0.0,3,42 101 27,0.9465669868220865,0.0023500065671471144,0.9745649263721553,0.006207241295512493,0.8930215916393432,0.004228686055868662,0.94662187383352,0.00878581731686438,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_27.pt
seq_lr_1em04,0.0001,256,1,1,1024,0.0,3,42 101 27,0.9491968931132896,0.0036627197869980245,0.9819277108433736,0.006558205469298996,0.8961678808354853,0.002239672982966247,0.9428891377379619,0.008379971750893472,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_27.pt
seq_lr_5em05,5e-05,256,1,1,1024,0.0,3,42 101 27,0.9501117343968764,0.0009603178967538398,0.9819277108433736,1.1102230246251565e-16,0.8976370351206273,0.0020973389455692104,0.9432624113475178,0.004122941775732457,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_42.pt
seq_lr_1em05,1e-05,256,1,1,1024,0.0,3,42 101 27,0.6172248459885129,0.43644462569096404,0.6559571619812584,0.4638317574048304,0.5815274322799387,0.40881577195570523,0.6308324001493094,0.44370944629588693,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em05_seed_101.pt
seq_d_model_64,5e-05,64,1,1,1024,0.0,3,42 101 27,0.904021558941705,0.01870110747507073,0.9799196787148595,1.1102230246251565e-16,0.8555312557580779,0.020877320137317322,0.9335572974990668,0.0038066588380684975,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_42.pt
seq_d_model_128,5e-05,128,1,1,1024,0.0,3,42 101 27,0.941633218468556,0.008332769055651033,0.9792503346720215,0.0018931908465503516,0.8935289683562614,0.006566636139937582,0.9413960432997387,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_42.pt
seq_d_model_256,5e-05,256,1,1,1024,0.0,3,42 101 27,0.9501117343968764,0.0009603178967538398,0.9819277108433736,1.1102230246251565e-16,0.8976370351206273,0.0020973389455692104,0.9432624113475178,0.004122941775732457,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_42.pt
seq_d_model_384,5e-05,384,1,1,1024,0.0,3,42 101 27,0.9501500385540084,0.002819151921254493,0.9825970548862116,0.0018931908465503516,0.8928242657943524,0.004510099394733785,0.942515864128406,0.0019033294190342414,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
