name,seed,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,best_dev_slot_f1,best_dev_intent_accuracy,test_slot_f1,test_intent_accuracy,epochs_ran,checkpoint_path
seq_lr_5em02,42,0.05,256,1,1,1024,0.0,0.0,0.0,0.0020516327577363653,0.03135498320268757,3,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_42.pt
seq_lr_5em02,101,0.05,256,1,1,1024,0.0,0.09971777986829727,0.7831325301204819,0.08647450110864745,0.7502799552071668,11,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_101.pt
seq_lr_5em02,27,0.05,256,1,1,1024,0.0,0.0,0.0,0.003375977256574271,0.0033594624860022394,3,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_27.pt
seq_lr_1em02,42,0.01,256,1,1,1024,0.0,0.39236902050113887,0.7650602409638554,0.3275686673448627,0.7357222844344905,9,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_42.pt
seq_lr_1em02,101,0.01,256,1,1,1024,0.0,0.2940027894002789,0.7831325301204819,0.26328862394436164,0.7458006718924972,9,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_101.pt
seq_lr_1em02,27,0.01,256,1,1,1024,0.0,0.46938194246653375,0.7751004016064257,0.42044134727061555,0.7625979843225084,13,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_27.pt
seq_lr_5em03,42,0.005,256,1,1,1024,0.0,0.5694643368662274,0.7831325301204819,0.513881877839475,0.7536394176931691,9,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_42.pt
seq_lr_5em03,101,0.005,256,1,1,1024,0.0,0.5961538461538461,0.751004016064257,0.5641111483093404,0.7312430011198209,18,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_101.pt
seq_lr_5em03,27,0.005,256,1,1,1024,0.0,0.5431274346132443,0.7670682730923695,0.4834571235651587,0.7569988801791714,9,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_27.pt
seq_lr_1em03,42,0.001,256,1,1,1024,0.0,0.9409691629955946,0.9759036144578314,0.8932241769726528,0.9372900335946248,20,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_42.pt
seq_lr_1em03,101,0.001,256,1,1,1024,0.0,0.940623162845385,0.9738955823293173,0.8805604203152365,0.9249720044792833,11,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_101.pt
seq_lr_1em03,27,0.001,256,1,1,1024,0.0,0.944183313748531,0.9558232931726908,0.8833885305909012,0.9182530795072789,12,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_27.pt
seq_lr_5em04,42,0.0005,256,1,1,1024,0.0,0.9447058823529412,0.9658634538152611,0.8909504638543672,0.948488241881299,13,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_42.pt
seq_lr_5em04,101,0.0005,256,1,1,1024,0.0,0.9451130026416201,0.9779116465863453,0.8891986062717769,0.93505039193729,14,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_101.pt
seq_lr_5em04,27,0.0005,256,1,1,1024,0.0,0.9498820754716982,0.9799196787148594,0.8989157047918852,0.9563269876819709,20,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_27.pt
seq_lr_1em04,42,0.0001,256,1,1,1024,0.0,0.9464075382803298,0.9738955823293173,0.8936468936468936,0.9316909294512878,23,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_42.pt
seq_lr_1em04,101,0.0001,256,1,1,1024,0.0,0.9468116367910667,0.9899598393574297,0.8957677509618749,0.9518477043673013,24,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_101.pt
seq_lr_1em04,27,0.0001,256,1,1,1024,0.0,0.9543715042684722,0.9819277108433735,0.8990889978976874,0.9451287793952967,31,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_27.pt
seq_lr_5em05,42,5e-05,256,1,1,1024,0.0,0.9509256538348515,0.9819277108433735,0.8969739373797446,0.9384098544232923,49,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_42.pt
seq_lr_5em05,101,5e-05,256,1,1,1024,0.0,0.9506462984723854,0.9819277108433735,0.9004722756690572,0.948488241881299,47,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_101.pt
seq_lr_5em05,27,5e-05,256,1,1,1024,0.0,0.9487632508833922,0.9819277108433735,0.89546489231308,0.9428891377379619,43,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_27.pt
seq_lr_1em05,42,1e-05,256,1,1,1024,0.0,0.924845269672856,0.9839357429718876,0.8695194668537355,0.9395296752519597,81,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em05_seed_42.pt
seq_lr_1em05,101,1e-05,256,1,1,1024,0.0,0.926829268292683,0.9839357429718876,0.8716868527295067,0.9496080627099664,85,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em05_seed_101.pt
seq_lr_1em05,27,1e-05,256,1,1,1024,0.0,0.0,0.0,0.003375977256574271,0.0033594624860022394,3,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em05_seed_27.pt
seq_d_model_64,42,5e-05,64,1,1,1024,0.0,0.9253819036427732,0.9799196787148594,0.876659678546471,0.93505039193729,92,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_42.pt
seq_d_model_64,101,5e-05,64,1,1,1024,0.0,0.8798358733880423,0.9799196787148594,0.8271068635968724,0.9283314669652856,56,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_101.pt
seq_d_model_64,27,5e-05,64,1,1,1024,0.0,0.9068468997942991,0.9799196787148594,0.8628272251308902,0.9372900335946248,71,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_27.pt
seq_d_model_128,42,5e-05,128,1,1,1024,0.0,0.952633127390409,0.9819277108433735,0.9017685168972159,0.9417693169092946,78,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_42.pt
seq_d_model_128,101,5e-05,128,1,1,1024,0.0,0.9397944199706315,0.9779116465863453,0.8931191058330422,0.9440089585666294,58,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_101.pt
seq_d_model_128,27,5e-05,128,1,1,1024,0.0,0.9324721080446272,0.9779116465863453,0.8856992823385262,0.9384098544232923,47,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_27.pt
seq_d_model_256,42,5e-05,256,1,1,1024,0.0,0.9509256538348515,0.9819277108433735,0.8969739373797446,0.9384098544232923,49,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_42.pt
seq_d_model_256,101,5e-05,256,1,1,1024,0.0,0.9506462984723854,0.9819277108433735,0.9004722756690572,0.948488241881299,47,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_101.pt
seq_d_model_256,27,5e-05,256,1,1,1024,0.0,0.9487632508833922,0.9819277108433735,0.89546489231308,0.9428891377379619,43,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_27.pt
seq_d_model_384,42,5e-05,384,1,1,1024,0.0,0.9504424778761063,0.9799196787148594,0.8972290424412487,0.9417693169092946,35,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_42.pt
seq_d_model_384,101,5e-05,384,1,1,1024,0.0,0.9534472598703595,0.9839357429718876,0.8866268866268866,0.9451287793952967,30,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
