name,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
seq_dropout_0.0,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_dropout_0.0_seed_101.pt
seq_dropout_0.1,0.0005,384,8,1,256,0.1,3,42 101 27,0.9579598103612691,0.0013518505028168282,0.9825970548862114,0.005008912164355986,0.9005331285935186,0.0023503050401325314,0.9507278835386338,0.008228968900727355,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_dropout_0.1_seed_101.pt
seq_lr_5em02,0.05,384,8,1,256,0.0,3,42 101 27,0.2848521517386761,0.044667547282890456,0.8192771084337349,0.03200276596487796,0.2338760389657966,0.01932452870368487,0.7857409481149683,0.03352404347789132,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em02_seed_42.pt
seq_lr_1em02,0.01,384,8,1,256,0.0,3,42 101 27,0.6053790574902082,0.05030039879093008,0.8607764390896921,0.02213900322428545,0.5414454389981379,0.048888776539980125,0.8387458006718925,0.014514536838539434,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em02_seed_42.pt
seq_lr_5em03,0.005,384,8,1,256,0.0,3,42 101 27,0.7776240394947324,0.01710070418506944,0.9257028112449799,0.011822973047292977,0.7186916055221745,0.013573656444898882,0.8999626726390444,0.008245883551464914,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em03_seed_27.pt
seq_lr_1em03,0.001,384,8,1,256,0.0,3,42 101 27,0.9451541084993053,0.0027141120990210863,0.9765729585006694,0.0018931908465502994,0.889612427625722,0.0031142782344665714,0.9451287793952968,0.007970943077291013,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em03_seed_42.pt
seq_lr_5em04,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em04_seed_101.pt
seq_lr_1em04,0.0001,384,8,1,256,0.0,3,42 101 27,0.951784745970827,0.0016185437543514334,0.9799196787148595,0.0016395513673247717,0.8942578898375183,0.0019246744819413479,0.9406494960806272,0.0009143298778585899,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em04_seed_42.pt
seq_lr_5em05,5e-05,384,8,1,256,0.0,3,42 101 27,0.950003765764364,0.003121807996676776,0.9799196787148595,0.0016395513673247717,0.8917557937505464,0.0009292508087034295,0.941022769690183,0.001903329419034256,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_5em05_seed_101.pt
seq_lr_1em05,1e-05,384,8,1,256,0.0,3,42 101 27,0.6157311188548511,0.4353885914738354,0.6532797858099063,0.4619414761661964,0.578013050456304,0.40771947026579913,0.6636804777902202,0.38695962843813037,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_lr_1em05_seed_101.pt
